name,lat,lng,image
Manacapuru,-3.3106,-60.6094,imagens/14100000.png
Itacoatiaria,-3.1539,-58.4114,imagens/16030000.png
Obidos,-1.9192,-55.5131,imagens/17050001.png
Manaus,-3.1383,-60.0272,imagens/14990000.png
Ponte Nova,-20.41458333333389,-42.90625000000216,imagens/56110005.png
Nova Era, -19.768750000000523,-43.0104166666689,imagens/56659998.png
Mario de Carvalho,-19.53541666666717,-42.67291666666887,imagens/56696000.png
Belo Oriente,-19.32708333333386,-42.36875000000214,imagens/56719998.png
Naque Velho,-19.21458333333385,-42.38958333333545,imagens/56825000.png
Vila Matias,-18.56875000000059,-41.902083333335554,imagens/56891900.png
Governador Valadares,-18.897916666667243,-41.960416666668834,imagens/56850000.png
Tumiritinga,-18.97708333333389,-41.614583333335474,imagens/56920000.png
Colatina,-19.53541666666717,-40.64791666666889,imagens/56994500.png
Linhares,-19.41458333333384,-40.0729166666689,imagens/56998200.png
